brand,topic,sentiment,text,date,month,source,likes,shares
Louis Vuitton,défilé,neutre,Interest stand summer public development. Louis Vuitton défilé Growth tell campaign fall.,2025-06-05,2025-06,Instagram,2518,459
Dior,collab,positif,Before sign collection. Dior collab Away Mrs.,2025-02-16,2025-02,TikTok,2789,84
Chanel,influenceurs,positif,Point table number hope. Chanel influenceurs Modern list hot.,2025-03-18,2025-03,Instagram,934,208
Balenciaga,défilé,neutre,Ball know consumer. Balenciaga défilé One be whatever.,2025-04-07,2025-04,Instagram,2966,900
Gucci,défilé,positif,Left than change. Gucci défilé Around administration.,2025-04-27,2025-04,Instagram,1591,390
Louis Vuitton,collab,positif,Whose fly decade. Louis Vuitton collab Idea which see appear responsibility.,2025-05-06,2025-05,TikTok,3334,314
Balenciaga,nouvelle collection,positif,Republican big. Balenciaga nouvelle collection Poor sing out give.,2025-04-18,2025-04,Instagram,4495,22
Balenciaga,collab,neutre,Again baby. Balenciaga collab Identify wind bring.,2025-05-24,2025-05,Instagram,265,410
Balenciaga,inflation,positif,Their base fire effect inside. Balenciaga inflation Chair her might.,2025-01-12,2025-01,Instagram,4814,895
Gucci,nouvelle collection,négatif,Practice social price save successful. Gucci nouvelle collection Place chance opportunity control need.,2025-01-31,2025-01,TikTok,1848,515
Louis Vuitton,durabilité,positif,Low go important. Louis Vuitton durabilité Teach analysis approach.,2025-01-15,2025-01,Instagram,1954,127
Gucci,green fashion,négatif,Computer structure. Gucci green fashion College ability.,2025-05-11,2025-05,Instagram,19,809
Chanel,collab,négatif,Pass meet boy current. Chanel collab Section part occur always send.,2025-06-05,2025-06,Instagram,2881,700
Louis Vuitton,défilé,négatif,Central group worry hear. Louis Vuitton défilé State back road area.,2025-04-04,2025-04,Instagram,807,874
Louis Vuitton,green fashion,négatif,Water agreement. Louis Vuitton green fashion Along change smile.,2025-04-05,2025-04,TikTok,4982,14
Balenciaga,green fashion,positif,Natural certainly within life support. Balenciaga green fashion View really the sea.,2025-04-26,2025-04,Instagram,1025,971
Gucci,nouvelle collection,positif,Above reduce want. Gucci nouvelle collection Control list month deep on.,2025-04-18,2025-04,TikTok,1834,978
Gucci,défilé,neutre,Well quite spring detail bed. Gucci défilé Law personal movement everything.,2025-04-26,2025-04,TikTok,4479,12
Dior,durabilité,neutre,These walk management second. Dior durabilité Job Democrat area push.,2025-01-27,2025-01,TikTok,3146,87
Balenciaga,durabilité,négatif,Power similar imagine mind. Balenciaga durabilité Remain wrong rich Republican.,2025-02-25,2025-02,Instagram,2203,524
Balenciaga,collab,neutre,Whole camera process. Balenciaga collab Perform cause.,2025-04-11,2025-04,TikTok,233,909
Louis Vuitton,défilé,neutre,Determine how five. Louis Vuitton défilé Organization rate one.,2025-04-05,2025-04,Instagram,4958,537
Chanel,durabilité,négatif,Fall hotel nearly over rock. Chanel durabilité Strategy building voice hold resource.,2025-04-22,2025-04,TikTok,4168,301
Louis Vuitton,durabilité,positif,Talk term. Louis Vuitton durabilité Late recognize.,2025-05-30,2025-05,TikTok,3935,243
Louis Vuitton,inflation,négatif,White notice record example. Louis Vuitton inflation Case language behavior final.,2025-05-31,2025-05,TikTok,4794,122
Gucci,influenceurs,négatif,Whose hold half by. Gucci influenceurs Record international cup opportunity.,2025-04-27,2025-04,TikTok,4010,147
Chanel,green fashion,négatif,Today mother feel page. Chanel green fashion Dog interest.,2025-02-22,2025-02,TikTok,1643,567
Chanel,influenceurs,négatif,Under decision new. Chanel influenceurs Manage adult government image.,2025-04-16,2025-04,TikTok,2162,750
Louis Vuitton,nouvelle collection,neutre,Music fly friend look memory. Louis Vuitton nouvelle collection Student design much office health.,2025-04-27,2025-04,TikTok,520,356
Chanel,nouvelle collection,neutre,Understand story boy evidence create. Chanel nouvelle collection Event left drug every.,2025-01-10,2025-01,TikTok,394,685
Chanel,collab,négatif,Debate fire. Chanel collab Enter large authority.,2025-02-25,2025-02,Instagram,414,904
Gucci,green fashion,neutre,Election tonight help. Gucci green fashion Decide pattern often sure.,2025-04-11,2025-04,Instagram,4623,733
Balenciaga,collab,neutre,Name rich window. Balenciaga collab Point market even it.,2025-04-23,2025-04,TikTok,4581,631
Dior,durabilité,positif,Security outside involve hospital. Dior durabilité Thank close degree medical.,2025-05-21,2025-05,TikTok,2010,309
Chanel,durabilité,positif,Recent write own. Chanel durabilité Front clearly make treatment.,2025-02-08,2025-02,TikTok,2766,695
Dior,inflation,négatif,Cut no whom black wear. Dior inflation Statement indicate let son.,2025-03-22,2025-03,Instagram,1678,288
Louis Vuitton,collab,neutre,Skin politics minute can. Louis Vuitton collab Personal score.,2025-01-29,2025-01,TikTok,1470,307
Dior,collab,neutre,Term when check each south. Dior collab Serve Republican seem job.,2025-05-04,2025-05,Instagram,3646,812
Gucci,inflation,neutre,While debate. Gucci inflation Stuff about someone.,2025-03-02,2025-03,Instagram,2734,594
Gucci,collab,négatif,Present apply support what. Gucci collab Center stuff prevent.,2025-02-27,2025-02,Instagram,4819,966
Chanel,collab,neutre,Decide science discuss. Chanel collab Option organization person particular.,2025-03-12,2025-03,Instagram,4188,914
